iter	Passed	Remaining
841	2793	524
842	2796	520
843	2799	517
844	2801	513
845	2805	510
846	2807	507
847	2810	503
848	2813	500
849	2816	497
850	2819	493
851	2822	490
852	2825	487
853	2828	483
854	2831	480
855	2834	476
856	2837	473
857	2840	470
858	2843	466
859	2846	463
860	2849	459
861	2852	456
862	2854	453
863	2857	449
864	2863	446
865	2866	443
866	2869	440
867	2873	436
868	2876	433
869	2879	430
870	2881	426
871	2884	423
872	2887	420
873	2891	416
874	2894	413
875	2897	410
876	2899	406
877	2905	403
878	2908	400
879	2911	397
880	2914	393
881	2917	390
882	2920	386
883	2923	383
884	2926	380
885	2929	376
886	2932	373
887	2935	370
888	2938	366
889	2941	363
890	2944	360
891	2947	356
892	2951	353
893	2954	350
894	2957	347
895	2960	343
896	2963	340
897	2966	336
898	2969	333
899	2972	330
900	2975	326
901	2978	323
902	2981	320
903	2984	316
904	2987	313
905	2990	310
906	2993	306
907	2996	303
908	2999	300
909	3002	296
910	3005	293
911	3008	290
912	3011	286
913	3014	283
914	3017	280
915	3019	276
916	3022	273
917	3025	270
918	3028	266
919	3031	263
920	3034	260
921	3037	256
922	3040	253
923	3043	250
924	3046	247
925	3049	243
926	3054	240
927	3057	237
928	3060	233
929	3063	230
930	3066	227
931	3069	223
932	3072	220
933	3075	217
934	3078	213
935	3081	210
936	3083	207
937	3086	204
938	3089	200
939	3092	197
940	3095	194
941	3098	190
942	3101	187
943	3104	184
944	3107	180
945	3110	177
946	3113	174
947	3116	170
948	3119	167
949	3122	164
950	3125	161
951	3128	157
952	3130	154
953	3133	151
954	3136	147
955	3139	144
956	3142	141
957	3146	137
958	3149	134
959	3152	131
960	3155	128
961	3158	124
962	3161	121
963	3164	118
964	3167	114
965	3170	111
966	3173	108
967	3176	104
968	3179	101
969	3182	98
970	3185	95
971	3188	91
972	3191	88
973	3193	85
974	3197	81
975	3199	78
976	3202	75
977	3206	72
978	3211	68
979	3215	65
980	3218	62
981	3221	59
982	3224	55
983	3227	52
984	3230	49
985	3233	45
986	3236	42
987	3239	39
988	3241	36
989	3244	32
990	3247	29
991	3250	26
992	3253	22
993	3256	19
994	3259	16
995	3262	13
996	3265	9
997	3268	6
998	3271	3
999	3273	0
