Pressure,Relative Humidity,Temperature
981.2,34.15,32.39
980.05,29.1,33.375
978.8,24.8,34.415
977.9,23.05,34.97
977.7,18.15,34.15
977.95,18.15,33.38
978.45,23.3,29.705
979.05,27.3,27.985
980.05,29.5,26.755
980.9,36.3,26.795
980.85,45.35,26.38
980.65,50.55,24.535
980.35,52.75,24.945
979.85,50.25,25.26
979.3,52,24.195
978.95,54.55,23.76
979.25,57.15,23.065
979.6,63.4,22.285
980,70.7,21.475
980.85,83.1,21.57
981.8,86,23.545
982.15,75.95,26.72
981.85,61.8,30.105
981.05,41.55,32.505
979.95,26.55,34.39
979.1,21.8,35.53
978,19.2,35.585
977.25,18.3,36.46
977.15,17.6,34.98
977.2,17.65,33.76
977.8,23.75,30.05
978.15,26.45,28.33
978.4,33,27.785
979.35,51,26.83
979.75,56.7,26.465
979.6,56.2,26.135
979.7,54.8,25.1
979.4,57.2,23.915
979.3,62.35,23.23
978.95,79.85,22.355
979.25,86.45,21.865
980,88.1,21.07
980.45,86.85,21.595
981.4,92.45,21.33
982.15,94.6,22.925
982,85.85,25.955
981.85,56.2,29.715
981.05,33.7,31.905
979.9,27.15,33.11
978.7,28.55,34.985
977.65,26,35.06
976.75,22.2,35.385
976.5,18.5,34.795
976.85,17.2,33.955
977.4,22.5,30.22
978.05,39,28.34
979.05,45.3,27.52
980,52.1,25.345
980.1,55,24.935
980.2,57.2,23.975
979.9,59.85,24.05
979.5,64.45,23.51
979.1,68,22.945
978.85,72.95,22.405
978.85,78.7,22.105
979.3,87.7,22.82
979.6,89.75,22.24
980.05,89.95,22.635
980.9,90,24.375
981.4,84.15,26.16
980.75,74.75,28.585
979.95,68,29.64
978.9,59.55,31.93
978,51.8,32.13
976.75,45.4,33.625
976.3,42.05,33.875
976.25,43.4,33.25
976.85,46.65,32.215
977.5,51.45,30.52
978.3,55.6,29.765
979.3,57.1,28.78
980.2,60.05,27.65
980.4,62.9,26.96
980.1,66.3,26.025
980.15,67.35,26.145
979.85,75.55,25.185
979.45,81.3,24.92
978.9,84.95,24.5
978.7,89.45,24.005
978.9,92.55,24.17
979.5,93.35,24.12
980.25,93.6,24.17
980.95,93.25,25.075
981.4,88.25,26.425
981.4,80.8,28.235
981,73.5,30.405
979.7,65.9,32.175
978.6,56.9,33.63
977.45,52.6,33.135
976.55,50.1,34.23
976.3,48.75,33.73
976.45,52.15,32.765
977.05,56,31.52
977.95,60.7,30.42
978.85,64.75,29.79
979.5,68.55,28.715
979.55,72.7,27.69
979.75,75.15,27.025
979.65,76.85,27
979.4,80.65,26.415
979.15,84.75,24.98
979.1,87.35,24.39
979.2,89.6,24.015
980.1,91.35,23.625
981,91.8,24.17
981.6,91.6,24.52
982.35,89.95,25.635
983.05,86.5,26.635
983.05,81,28.765
982.35,71.25,31.83
981.15,58.1,33.09
980,45.1,34.255
978.8,39.85,35.8
977.7,35.25,36.515
977,33.9,35.05
976.95,31.7,34.985
977.65,38.6,31.335
978.3,47.45,29.67
979.05,51.95,28.095
980.05,54.5,27.345
980.5,57.75,25.95
980.5,59.95,25.44
980.45,61.95,24.595
980.25,64.15,24.39
980.2,67,23.125
980.2,76.45,22.345
980.15,84.75,22.36
980.6,90.1,22.67
981.1,92.2,20.95
981.85,93.3,22.43
982.3,91.05,25.31
982.55,79.55,27.83
982.15,61.5,30.335
981.15,36.6,32.23
979.9,32.2,32.845
978.8,27.95,34.545
977.85,20.25,36.08
977,15.1,35.73
976.35,14.05,35.16
976.4,15.55,33.29
976.8,20.2,29.555
977.6,22.55,27.42
978.5,24.1,27.015
979.25,31.85,26.405
979.75,40.05,24.63
980,42.85,24.17
979.85,47.45,23.245
979.4,49.35,24.06
979.05,53.3,22.59
978.85,62.5,21.51
979,71.45,22.07
979.95,81.15,22.055
980.8,90.05,21.435
981.6,92.4,20.89
982.3,93.15,22.465
982.45,88.15,25.82
982,74.75,28.25
981.35,60.55,30.885
980.1,44.85,33.175
978.8,38.25,33.925
977.45,36.15,34.28
976.2,33.35,34.18
975.95,34.75,33.59
976,39.9,32.46
976.7,44.75,30.81
977.55,49.25,29.19
978.7,52.45,28.595
979.55,56.05,27.725
979.9,59.3,27.345
979.85,61.9,27
979.5,65.05,25.79
979.05,68.7,24.425
978.4,74.8,23.255
978,79.7,22.93
978.1,83.55,22.92
978.55,86.05,22.39
979.05,90.55,22.36
980,92.8,22.43
980.95,93.6,23.255
981.45,91.8,24.665
981.4,81.05,27.48
980.65,69.6,30.73
979.5,59.55,32.615
978.35,49,33.825
977.05,40.55,34.63
976,36.75,35.275
975.45,36.8,34.215
975.5,38.6,33.81
976.05,42.15,31.435
976.8,47.7,30.08
977.75,51.7,29.4
978.5,53,28.77
978.95,53.25,28.1
979.15,58.7,26.135
978.85,63.35,25.56
978.5,67.9,25.415
977.95,74.45,23.82
977.6,83.55,23.82
977.7,89.05,23.655
978.5,89.5,24.23
979.25,88.25,24.29
980.1,88.65,24.435
980.7,86.8,26.29
981.45,78.9,28.425
981.3,70.35,30.625
980.35,61,32.885
979,46.1,34.135
977.7,34.6,34.92
976.5,29.25,36.12
975.5,26.8,36.66
974.95,26.8,35.65
974.95,28.25,34.85
975.45,33.4,31.525
976.1,38.75,29.775
977.1,44,29.925
978.2,48.65,28.385
979,54,26.915
979.3,57.8,26.82
979.3,59.45,26.785
979.1,69.75,25.5
978.5,78.15,24.53
978.25,83.1,24.335
978.2,86.45,24.655
978.65,88.4,24.65
979.05,89.45,24.895
979.9,89.35,25.195
980.65,88.55,25.695
981.2,84.95,27.285
980.7,74.85,29.34
980.25,67.55,30.645
979.3,59.35,32.94
978.05,53.15,33.885
976.75,49,34.755
975.9,46.9,34.31
975.35,45.25,34.72
975.3,45.4,34.215
975.9,49.45,31.965
976.75,57.2,30.065
977.7,58.6,29.04
978.9,59.85,28.195
979.3,63.6,27.69
979.75,67.75,27.05
